DATE,Construction_Spending,Median_Sale_price,PERMIT,Available_Homes
01-01-2003,863855,181700,1808,1654
01-02-2003,859225,187000,1854,1688
01-03-2003,851132,185100,1757,1638
01-04-2003,859459,189500,1803,1662
01-05-2003,866814,195500,1835,1733
01-06-2003,880865,187900,1875,1641
01-07-2003,891264,190200,1885,1680
01-08-2003,901839,190500,1966,1570
01-09-2003,911589,192000,1961,1719
01-10-2003,925732,194100,2012,1728
01-11-2003,925985,207100,1918,1692
01-12-2003,948491,196000,1987,1716
01-01-2004,938525,209500,1952,1709
01-02-2004,937813,219600,1966,1718
01-03-2004,961159,209600,2066,1794
01-04-2004,967602,222300,2070,1938
01-05-2004,974381,211700,2150,1893
01-06-2004,983087,215700,2020,1857
01-07-2004,1006184,212400,2112,1881
01-08-2004,1013616,218100,2056,1911
01-09-2004,1012080,211600,2041,1796
01-10-2004,1015719,229200,2097,1839
01-11-2004,1022994,224500,2079,1758
01-12-2004,1037480,229600,2082,1921
01-01-2005,1046082,223100,2139,1892
01-02-2005,1066848,237300,2114,1908
01-03-2005,1071745,229300,2062,1787
01-04-2005,1081012,236300,2150,1927
01-05-2005,1093341,228300,2085,2103
01-06-2005,1105896,226100,2178,1965
01-07-2005,1119101,229200,2203,1886
01-08-2005,1129163,240100,2219,1952
01-09-2005,1148438,240400,2263,1922
01-10-2005,1160831,243900,2170,1962
01-11-2005,1172090,237900,2218,1907
01-12-2005,1184677,238600,2120,1941
01-01-2006,1195642,244900,2212,2036
01-02-2006,1205639,250800,2141,2048
01-03-2006,1205169,238800,2118,2245
01-04-2006,1193296,257000,1998,2071
01-05-2006,1180581,238200,1905,1897
01-06-2006,1172128,243200,1867,2050
01-07-2006,1157926,238100,1763,1934
01-08-2006,1145907,243900,1722,1877
01-09-2006,1135753,226700,1655,2011
01-10-2006,1122914,250400,1570,1918
01-11-2006,1121749,240100,1535,1893
01-12-2006,1135406,244700,1638,1888
01-01-2007,1137917,254400,1626,1822
01-02-2007,1139032,250800,1598,1640
01-03-2007,1146624,262600,1596,1623
01-04-2007,1150590,242500,1470,1539
01-05-2007,1161581,245000,1493,1536
01-06-2007,1163511,235500,1407,1481
01-07-2007,1155448,246200,1361,1534
01-08-2007,1159077,236500,1321,1512
01-09-2007,1158580,240300,1261,1356
01-10-2007,1152491,234300,1192,1405
01-11-2007,1132908,249100,1224,1390
01-12-2007,1115141,227700,1149,1328
01-01-2008,1111347,232400,1094,1331
01-02-2008,1096648,245300,1014,1274
01-03-2008,1103446,229300,967,1195
01-04-2008,1101252,246400,1008,1022
01-05-2008,1101547,229300,995,1142
01-06-2008,1090098,234300,1180,1142
01-07-2008,1086952,237300,921,1087
01-08-2008,1070075,221000,858,1017
01-09-2008,1059579,225200,797,1160
01-10-2008,1055959,213200,736,1055
01-11-2008,1035033,221600,626,1076
01-12-2008,999139,229600,554,1021
01-01-2009,975099,208600,545,777
01-02-2009,971708,209700,558,819
01-03-2009,963793,205100,513,839
01-04-2009,932482,219200,521,846
01-05-2009,920020,222300,556,818
01-06-2009,912530,214700,601,797
01-07-2009,911438,214200,595,797
01-08-2009,900112,207100,616,792
01-09-2009,887241,216600,609,721
01-10-2009,871391,215100,583,746
01-11-2009,858493,218800,623,844
01-12-2009,842609,222600,664,750
01-01-2010,822114,218200,636,689
01-02-2010,814885,221900,650,670
01-03-2010,821849,224800,687,635
01-04-2010,829664,208300,637,737
01-05-2010,823447,230500,575,702
01-06-2010,821943,219500,587,894
01-07-2010,799694,212100,579,572
01-08-2010,802030,226600,580,592
01-09-2010,807728,228000,563,632
01-10-2010,801372,204200,558,605
01-11-2010,804151,219600,560,552
01-12-2010,789395,241200,632,565
01-01-2011,759964,240100,576,520
01-02-2011,758376,220100,542,615
01-03-2011,769157,220500,583,591
01-04-2011,769437,224700,581,549
01-05-2011,775251,222000,618,549
01-06-2011,794839,240200,636,579
01-07-2011,792381,229900,621,634
01-08-2011,811953,219600,647,614
01-09-2011,813660,217000,610,603
01-10-2011,808378,224800,671,566
01-11-2011,812050,214300,706,585
01-12-2011,821367,218600,697,610
01-01-2012,830610,221700,712,545
01-02-2012,824368,239900,738,561
01-03-2012,829288,239800,806,582
01-04-2012,841740,236400,732,671
01-05-2012,850928,239200,796,626
01-06-2012,858009,232600,794,625
01-07-2012,858934,237400,849,676
01-08-2012,862726,253200,840,684
01-09-2012,866588,254600,930,652
01-10-2012,875366,247200,887,730
01-11-2012,872052,245000,917,668
01-12-2012,871809,258300,941,677
01-01-2013,862722,251500,940,714
01-02-2013,873583,265100,980,729
01-03-2013,864510,257500,936,816
01-04-2013,879728,279300,1012,712
01-05-2013,888752,263700,1003,708
01-06-2013,899295,259800,942,736
01-07-2013,917756,262200,997,784
01-08-2013,929061,255300,964,765
01-09-2013,938121,269800,1004,776
01-10-2013,951214,264300,1044,801
01-11-2013,964122,277100,1029,839
01-12-2013,979211,275500,1005,778
01-01-2014,986587,269800,976,838
01-02-2014,987538,268400,1039,876
01-03-2014,991157,282300,1067,893
01-04-2014,1006901,274500,1090,834
01-05-2014,1007147,285600,1018,891
01-06-2014,1006424,287000,1010,800
01-07-2014,1014935,280400,1076,839
01-08-2014,1015096,291700,1047,908
01-09-2014,1021890,261500,1077,975
01-10-2014,1046402,297000,1094,920
01-11-2014,1044893,298300,1059,863
01-12-2014,1056429,301500,1072,955
01-01-2015,1061241,292000,1049,954
01-02-2015,1072895,286600,1127,863
01-03-2015,1086748,286600,1072,781
01-04-2015,1115619,294500,1166,1001
01-05-2015,1135433,287500,1272,1012
01-06-2015,1158193,285100,1379,962
01-07-2015,1154561,292300,1140,988
01-08-2015,1164377,293000,1165,974
01-09-2015,1163937,299500,1144,1040
01-10-2015,1151533,298000,1160,985
01-11-2015,1145510,312600,1244,1000
01-12-2015,1156354,297100,1211,1023
01-01-2016,1160988,288400,1171,1056
01-02-2016,1172851,305800,1172,1037
01-03-2016,1188776,303200,1118,1003
01-04-2016,1185902,318300,1160,945
01-05-2016,1190685,295200,1205,1000
01-06-2016,1217604,311200,1208,1109
01-07-2016,1214532,297400,1198,1072
01-08-2016,1221250,298900,1201,1054
01-09-2016,1232438,314800,1303,1035
01-10-2016,1241100,302800,1254,1070
01-11-2016,1264881,315000,1230,1244
01-12-2016,1270443,327000,1248,1101
01-01-2017,1254583,315200,1296,1081
01-02-2017,1275911,298000,1237,1148
01-03-2017,1272724,321700,1273,1147
01-04-2017,1269079,311100,1239,1069
01-05-2017,1282926,323600,1205,1170
01-06-2017,1277352,315200,1353,1236
01-07-2017,1275888,322900,1254,1173
01-08-2017,1274974,314200,1336,1107
01-09-2017,1281172,331500,1277,1113
01-10-2017,1283266,319500,1360,1196
01-11-2017,1308896,343400,1295,1182
01-12-2017,1313666,343300,1312,1200
01-01-2018,1336469,329600,1311,1208
01-02-2018,1355105,327200,1331,1288
01-03-2018,1344968,335400,1381,1181
01-04-2018,1355101,314400,1365,1224
01-05-2018,1362364,316700,1331,1262
01-06-2018,1343214,310500,1338,1212
01-07-2018,1336631,327500,1333,1150
01-08-2018,1340449,321400,1293,1262
01-09-2018,1326111,328300,1320,1187
01-10-2018,1310946,328300,1280,1122
01-11-2018,1300694,308500,1334,1131
01-12-2018,1289930,329700,1320,1053
01-01-2019,1296049,305400,1254,1258
01-02-2019,1312040,320800,1302,1334
01-03-2019,1322532,310600,1291,1301
01-04-2019,1353657,339000,1298,1329
01-05-2019,1364421,312700,1338,1226
01-06-2019,1383309,311800,1301,1169
01-07-2019,1410749,308300,1347,1219
01-08-2019,1426091,327000,1528,1294
01-09-2019,1438119,315700,1491,1150
01-10-2019,1442150,322400,1538,1294
01-11-2019,1463036,328000,1522,1244
01-12-2019,1466415,329500,1461,1310
01-01-2020,1494117,328900,1500,1302
01-02-2020,1501790,331800,1440,1271
01-03-2020,1506335,328200,1348,1247
01-04-2020,1460471,310100,1050,1207
01-05-2020,1452086,317100,1253,1171
01-06-2020,1459188,341100,1329,1244
01-07-2020,1470971,329800,1526,1314
01-08-2020,1489640,325500,1564,1238
01-09-2020,1510182,344400,1643,1446
01-10-2020,1534900,346900,1622,1370
01-11-2020,1550976,350800,1713,1240
01-12-2020,1572760,365300,1760,1386
01-01-2021,1606561,373200,1866,1344
01-02-2021,1585044,362000,1700,1322
01-03-2021,1613045,359600,1731,1459
01-04-2021,1615638,376600,1714,1438
01-05-2021,1628281,390400,1680,1337
01-06-2021,1639779,374700,1644,1298
01-07-2021,1658346,406000,1618,1361
01-08-2021,1666756,404300,1837,1312
01-09-2021,1667332,413200,1636,1232
01-10-2021,1685243,427300,1727,1259
01-11-2021,1726586,430300,1775,1389
01-12-2021,1754426,410000,1948,1337
01-01-2022,1796460,430500,1898,1256
01-02-2022,1823728,427400,1817,1371
01-03-2022,1849637,435900,1877,1356
01-04-2022,1882753,458200,1795,1361
01-05-2022,1880896,450700,1708,1446
01-06-2022,1873184,432700,1701,1392
01-07-2022,1869262,478200,1658,1396
01-08-2022,1847285,440300,1586,1355
01-09-2022,1836930,477700,1588,1438
01-10-2022,1830477,496800,1555,1348
01-11-2022,1842206,462300,1402,1543
01-12-2022,1840896,479500,1409,1390
01-01-2023,1882199,432100,1354,1377
01-02-2023,1889562,433300,1482,1577
01-03-2023,1901401,438900,1437,1528
01-04-2023,1907837,417200,1417,1416
01-05-2023,1946733,419500,1496,1534
01-06-2023,1958945,416700,1441,1498
01-07-2023,1972608,436700,1443,1321
